,Station,Air Quality,O3 Quality,O3 µg/m3,NO2 Quality,NO2 µg/m3,PM10 Quality,PM10 µg/m3,Date Time,Generated Date,Generated Time,Week Day
0,Sants,Good,,,Good,84.0,,,1541027104,01/11/18,0:00,Thursday
1,Eixample,Moderate,Good,1.0,Moderate,113.0,Good,36.0,1541027104,01/11/18,0:00,Thursday
2,Gràcia,Good,Good,10.0,Good,73.0,,,1541027104,01/11/18,0:00,Thursday
3,Ciutadella,Good,Good,2.0,Good,86.0,,,1541027104,01/11/18,0:00,Thursday
4,Vall Hebron,Good,Good,7.0,Good,69.0,,,1541027104,01/11/18,0:00,Thursday
5,Palau Reial,Good,Good,11.0,Good,57.0,Good,23.0,1541027104,01/11/18,0:00,Thursday
6,Poblenou,Good,,,Good,86.0,Good,32.0,1541027104,01/11/18,0:00,Thursday
7,Observ Fabra,Good,Good,58.0,Good,3.0,Good,25.0,1541027104,01/11/18,0:00,Thursday
8,Sants,Good,,,Good,62.0,,,1541030725,01/11/18,1:00,Thursday
9,Eixample,Good,Good,6.0,Good,80.0,Good,35.0,1541030725,01/11/18,1:00,Thursday
10,Gràcia,Good,Good,21.0,Good,59.0,,,1541030725,01/11/18,1:00,Thursday
11,Ciutadella,Good,Good,4.0,Good,78.0,,,1541030725,01/11/18,1:00,Thursday
12,Vall Hebron,Good,Good,29.0,Good,45.0,,,1541030725,01/11/18,1:00,Thursday
13,Palau Reial,Good,Good,27.0,Good,38.0,Good,24.0,1541030725,01/11/18,1:00,Thursday
14,Poblenou,Good,,,Good,75.0,Good,32.0,1541030725,01/11/18,1:00,Thursday
15,Observ Fabra,Good,Good,87.0,Good,8.0,Good,25.0,1541030725,01/11/18,1:00,Thursday
16,Sants,Good,,,Good,46.0,,,1541034303,01/11/18,2:00,Thursday
17,Eixample,Good,Good,14.0,Good,64.0,Good,34.0,1541034303,01/11/18,2:00,Thursday
18,Gràcia,Good,Good,32.0,Good,41.0,,,1541034303,01/11/18,2:00,Thursday
19,Ciutadella,Good,Good,24.0,Good,56.0,,,1541034303,01/11/18,2:00,Thursday
20,Vall Hebron,Good,Good,47.0,Good,27.0,,,1541034303,01/11/18,2:00,Thursday
21,Palau Reial,Good,Good,34.0,Good,28.0,Good,24.0,1541034303,01/11/18,2:00,Thursday
22,Poblenou,Good,,,Good,51.0,Good,32.0,1541034303,01/11/18,2:00,Thursday
23,Observ Fabra,Good,Good,77.0,Good,11.0,Good,25.0,1541034303,01/11/18,2:00,Thursday
24,Sants,Good,,,Good,46.0,,,1541037902,01/11/18,3:00,Thursday
25,Eixample,Good,Good,32.0,Good,44.0,Good,35.0,1541037902,01/11/18,3:00,Thursday
26,Gràcia,Good,Good,48.0,Good,27.0,,,1541037902,01/11/18,3:00,Thursday
27,Ciutadella,Good,Good,45.0,Good,29.0,,,1541037902,01/11/18,3:00,Thursday
28,Vall Hebron,Good,Good,65.0,Good,14.0,,,1541037902,01/11/18,3:00,Thursday
29,Palau Reial,Good,Good,38.0,Good,19.0,Good,24.0,1541037902,01/11/18,3:00,Thursday
30,Poblenou,Good,,,Good,34.0,Good,31.0,1541037902,01/11/18,3:00,Thursday
31,Observ Fabra,Good,Good,83.0,Good,6.0,Good,24.0,1541037902,01/11/18,3:00,Thursday
32,Sants,,,,,,,,1541041503,01/11/18,4:00,Thursday
33,Eixample,Good,Good,43.0,Good,34.0,Good,34.0,1541041503,01/11/18,4:00,Thursday
34,Gràcia,Good,Good,58.0,Good,18.0,,,1541041503,01/11/18,4:00,Thursday
35,Ciutadella,Good,Good,61.0,Good,19.0,,,1541041503,01/11/18,4:00,Thursday
36,Vall Hebron,Good,Good,70.0,Good,11.0,,,1541041503,01/11/18,4:00,Thursday
37,Palau Reial,Good,Good,57.0,Good,7.0,Good,23.0,1541041503,01/11/18,4:00,Thursday
38,Poblenou,Good,,,Good,20.0,Good,30.0,1541041503,01/11/18,4:00,Thursday
39,Observ Fabra,Good,Good,83.0,Good,4.0,Good,23.0,1541041503,01/11/18,4:00,Thursday
40,Sants,,,,,,,,1541045102,01/11/18,5:00,Thursday
41,Eixample,Good,Good,45.0,Good,26.0,Good,33.0,1541045102,01/11/18,5:00,Thursday
42,Gràcia,Good,Good,58.0,Good,16.0,,,1541045102,01/11/18,5:00,Thursday
43,Ciutadella,Good,Good,50.0,Good,26.0,,,1541045102,01/11/18,5:00,Thursday
44,Vall Hebron,Good,Good,69.0,Good,7.0,,,1541045102,01/11/18,5:00,Thursday
45,Palau Reial,Good,Good,48.0,Good,8.0,Good,21.0,1541045102,01/11/18,5:00,Thursday
46,Poblenou,Good,,,Good,25.0,Good,27.0,1541045102,01/11/18,5:00,Thursday
47,Observ Fabra,Good,Good,81.0,Good,2.0,Good,18.0,1541045102,01/11/18,5:00,Thursday
48,Sants,,,,,,,,1541048703,01/11/18,6:00,Thursday
49,Eixample,Good,Good,37.0,Good,31.0,Good,27.0,1541048703,01/11/18,6:00,Thursday
50,Gràcia,Good,Good,51.0,Good,19.0,,,1541048703,01/11/18,6:00,Thursday
51,Ciutadella,Good,Good,52.0,Good,18.0,,,1541048703,01/11/18,6:00,Thursday
52,Vall Hebron,Good,Good,63.0,Good,8.0,,,1541048703,01/11/18,6:00,Thursday
53,Palau Reial,Good,Good,41.0,Good,11.0,Good,17.0,1541048703,01/11/18,6:00,Thursday
54,Poblenou,Good,,,Good,27.0,Good,24.0,1541048703,01/11/18,6:00,Thursday
55,Observ Fabra,Good,Good,77.0,Good,2.0,Good,18.0,1541048703,01/11/18,6:00,Thursday
56,Sants,Good,,,Good,17.0,,,1541052302,01/11/18,7:00,Thursday
57,Eixample,Good,Good,24.0,Good,37.0,Good,25.0,1541052302,01/11/18,7:00,Thursday
58,Gràcia,Good,Good,45.0,Good,19.0,,,1541052302,01/11/18,7:00,Thursday
59,Ciutadella,Good,Good,46.0,Good,17.0,,,1541052302,01/11/18,7:00,Thursday
60,Vall Hebron,Good,Good,54.0,Good,11.0,,,1541052302,01/11/18,7:00,Thursday
61,Palau Reial,Good,Good,28.0,Good,17.0,Good,15.0,1541052302,01/11/18,7:00,Thursday
62,Poblenou,Good,,,Good,22.0,Good,21.0,1541052302,01/11/18,7:00,Thursday
63,Observ Fabra,Good,Good,69.0,Good,2.0,Good,10.0,1541052302,01/11/18,7:00,Thursday
64,Sants,Good,,,Good,25.0,,,1541055903,01/11/18,8:00,Thursday
65,Eixample,Good,Good,18.0,Good,42.0,Good,24.0,1541055903,01/11/18,8:00,Thursday
66,Gràcia,Good,Good,39.0,Good,21.0,,,1541055903,01/11/18,8:00,Thursday
67,Ciutadella,Good,Good,36.0,Good,21.0,,,1541055903,01/11/18,8:00,Thursday
68,Vall Hebron,Good,Good,37.0,Good,26.0,,,1541055903,01/11/18,8:00,Thursday
69,Palau Reial,Good,Good,10.0,Good,34.0,Good,13.0,1541055903,01/11/18,8:00,Thursday
70,Poblenou,Good,,,Good,22.0,Good,20.0,1541055903,01/11/18,8:00,Thursday
71,Observ Fabra,Good,Good,67.0,Good,2.0,Good,8.0,1541055903,01/11/18,8:00,Thursday
72,Sants,Good,,,Good,45.0,,,1541059503,01/11/18,9:00,Thursday
73,Eixample,Good,Good,6.0,Good,52.0,Good,21.0,1541059503,01/11/18,9:00,Thursday
74,Gràcia,Good,Good,17.0,Good,43.0,,,1541059503,01/11/18,9:00,Thursday
75,Ciutadella,Good,Good,18.0,Good,34.0,,,1541059503,01/11/18,9:00,Thursday
76,Vall Hebron,Good,Good,8.0,Good,59.0,,,1541059503,01/11/18,9:00,Thursday
77,Palau Reial,Good,Good,7.0,Good,36.0,Good,12.0,1541059503,01/11/18,9:00,Thursday
78,Poblenou,Good,,,Good,31.0,Good,18.0,1541059503,01/11/18,9:00,Thursday
79,Observ Fabra,Good,Good,67.0,Good,3.0,Good,8.0,1541059503,01/11/18,9:00,Thursday
80,Sants,Good,,,Good,35.0,,,1541063103,01/11/18,10:00,Thursday
81,Eixample,Good,Good,3.0,Good,60.0,Good,20.0,1541063103,01/11/18,10:00,Thursday
82,Gràcia,Good,Good,14.0,Good,49.0,,,1541063103,01/11/18,10:00,Thursday
83,Ciutadella,Good,Good,24.0,Good,34.0,,,1541063103,01/11/18,10:00,Thursday
84,Vall Hebron,Good,Good,14.0,Good,51.0,,,1541063103,01/11/18,10:00,Thursday
85,Palau Reial,Good,Good,21.0,Good,15.0,Good,11.0,1541063103,01/11/18,10:00,Thursday
86,Poblenou,Good,,,Good,37.0,Good,17.0,1541063103,01/11/18,10:00,Thursday
87,Observ Fabra,Good,Good,69.0,Good,3.0,Good,6.0,1541063103,01/11/18,10:00,Thursday
88,Sants,Good,,,Good,23.0,,,1541066703,01/11/18,11:00,Thursday
89,Eixample,Good,Good,12.0,Good,64.0,Good,19.0,1541066703,01/11/18,11:00,Thursday
90,Gràcia,Good,Good,32.0,Good,33.0,,,1541066703,01/11/18,11:00,Thursday
91,Ciutadella,Good,Good,34.0,Good,25.0,,,1541066703,01/11/18,11:00,Thursday
92,Vall Hebron,Good,Good,44.0,Good,15.0,,,1541066703,01/11/18,11:00,Thursday
93,Palau Reial,Good,Good,33.0,Good,11.0,Good,12.0,1541066703,01/11/18,11:00,Thursday
94,Poblenou,Good,,,Good,28.0,Good,16.0,1541066703,01/11/18,11:00,Thursday
95,Observ Fabra,Good,Good,64.0,Good,7.0,Good,6.0,1541066703,01/11/18,11:00,Thursday
96,Sants,Good,,,Good,31.0,,,1541070303,01/11/18,12:00,Thursday
97,Eixample,Good,Good,22.0,Good,50.0,Good,18.0,1541070303,01/11/18,12:00,Thursday
98,Gràcia,Good,Good,30.0,Good,37.0,,,1541070303,01/11/18,12:00,Thursday
99,Ciutadella,Good,Good,35.0,Good,21.0,,,1541070303,01/11/18,12:00,Thursday
100,Vall Hebron,Good,Good,47.0,Good,13.0,,,1541070303,01/11/18,12:00,Thursday
101,Palau Reial,Good,Good,38.0,Good,19.0,Good,11.0,1541070303,01/11/18,12:00,Thursday
102,Poblenou,Good,,,Good,29.0,Good,15.0,1541070303,01/11/18,12:00,Thursday
103,Observ Fabra,Good,Good,68.0,Good,3.0,Good,7.0,1541070303,01/11/18,12:00,Thursday
104,Sants,Good,,,Good,14.0,,,1541073903,01/11/18,13:00,Thursday
105,Eixample,Good,Good,29.0,Good,35.0,Good,18.0,1541073903,01/11/18,13:00,Thursday
106,Gràcia,Good,Good,46.0,Good,21.0,,,1541073903,01/11/18,13:00,Thursday
107,Ciutadella,Good,Good,41.0,Good,16.0,,,1541073903,01/11/18,13:00,Thursday
